Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tokerau 68","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
,"Matipo Primary School, 63b Matipo Road",0,0,1,0,0,4,24,0,14,10,9,7,0,69,2
,"Peninsula Primary School, 22 Waipani Road",0,0,0,0,0,15,37,0,23,19,8,10,0,112,0
,"Rutherford Primary School, 2 Kotuku Street",0,1,1,0,0,3,23,0,14,13,7,4,0,66,3
,"Te Atatu Intermediate School, Harbour View Road",2,0,2,0,0,12,61,0,25,38,21,18,0,179,3
"Te Atatu South","Edmonton Primary School, corner School & Edmonton Roads",0,0,0,1,0,5,19,0,8,8,4,9,0,54,1
,"Flanshaw Road School, 51 Flanshaw Road",0,0,0,1,0,11,38,0,17,11,12,10,0,100,3
,"Freyberg Community School, 60 Roberts Road",0,0,0,0,0,7,17,0,10,12,4,5,0,55,0
,"Rangeview Intermediate School, Keru Place",0,0,0,0,0,2,14,0,6,5,2,2,0,31,0
"Westgate","Massey Presbyterian Church, 510 Don Buck Road",0,0,2,1,0,0,24,0,9,7,6,8,0,57,0
,Waitakere
"Glen Eden","Te Kura Kaupapa Māori o Hoani Waititi Marae, 441 West Coast Road",0,0,1,0,0,4,29,0,11,30,2,5,0,82,1
"Henderson","Bruce McLaren Intermediate School, 61-69 Bruce McLaren Road",0,0,0,0,0,11,36,0,16,13,7,6,0,89,1
,"Henderson High School, 31 Henderson Valley Road",0,0,0,0,0,3,36,0,13,8,2,10,0,72,1
,"Henderson Primary School, 13 Montel Avenue",0,1,0,0,0,6,22,0,7,4,3,3,0,46,0
,"Henderson South School, 24 Garelja Road",0,0,0,0,0,4,22,0,7,3,2,3,0,41,0
,"The Church of Jesus Christ of Latter-Day Saints, 7 Harvest Drive",0,0,0,0,0,4,20,0,2,10,1,5,0,42,0
,"Western Heights School, 126 Sturges Road",0,0,0,1,0,9,37,0,14,15,17,5,0,98,1
"Ranui","Birdwood School, 23 Karepo Crescent",0,0,0,1,0,8,28,0,7,7,1,0,0,52,3
,"Ranui Community House, 474 Swanson Road",0,0,3,0,0,4,43,0,14,8,5,12,0,89,0
,"Ranui Pacific Islanders Presbyterian Church, 35 Armada Drive",1,0,0,0,0,2,15,0,7,0,8,0,0,33,0
,"Ranui Primary School, 16a Ranui Station Road",0,0,2,0,0,7,65,0,27,15,9,14,0,139,6
"Sunnyvale","Kelston Community Centre, 126 Awaroa Road ",0,0,0,0,0,5,23,0,4,7,6,3,0,48,1
,"Sunnyvale Community Hall, 18 Sunnyside Road",0,0,0,0,0,3,19,0,7,6,3,1,0,39,0
,"Sunnyvale Primary School, 34 Ribblesdale Road",0,0,1,1,0,2,23,0,9,10,3,6,0,55,1
"Swanson","Swanson School, 703 Swanson Road",0,0,0,2,0,11,25,0,5,3,13,8,0,67,0
"Waitakere","Waitakere Primary School, 10 Bethells Road",0,0,0,0,0,5,5,0,2,2,5,1,0,20,1
,Whangarei
"Glenbervie","Glenbervie School, 151 Ngunguru Road",0,0,0,0,0,4,13,0,5,0,4,2,1,29,1
"Hikurangi","Hikurangi School, Swan Avenue",1,0,1,3,0,8,48,0,27,8,1,19,0,116,3
"Kamo","Jane Mander Retirement Village, 262 Fairway Drive",0,0,0,0,0,0,4,0,6,0,0,0,0,10,0
,"Kamo Intermediate School, Hailes Road",1,0,0,0,0,5,21,0,14,3,4,7,0,55,2
,"Kamo Primary School, 6 Three Mile Bush Road",0,0,2,0,0,14,42,0,34,10,16,21,0,139,4
"Kauri","Kaurihohore Hall, corner Apotu & Crane Roads",0,0,0,0,0,1,3,0,1,0,4,2,0,11,0
"Kensington","Kensington Croquet Club, 41 Mill Road",0,0,1,0,0,3,8,0,7,4,4,6,0,33,0
,"St Johns Church Centre, 149 Kamo Road",0,0,2,0,0,9,39,1,28,8,6,10,0,103,2
,"Table Tennis Centre, Western Hills Drive",1,0,0,1,0,7,12,0,3,4,1,5,0,34,3
,"Whau Valley School, 17 Moodys Avenue",1,0,1,0,0,11,44,0,12,7,7,6,0,89,1
"Kokopu","Kokopu School, Kokopu Road",0,0,0,0,0,2,3,0,0,0,1,0,0,6,0
"Mangapai","Mangapai Hall, corner McAlister & Mangapai Roads ",0,0,0,0,0,1,0,0,1,1,1,5,0,9,0
"Mata","Mata Hall, Salmon Road  ",0,0,0,0,0,1,3,0,0,0,1,1,0,6,0
"Matapouri","Matapouri Public Hall, Matapouri Road",0,0,0,0,0,3,1,0,2,0,0,3,0,9,0
"Maungakaramea","Maungakaramea School, Tangihua Road",0,0,0,0,0,2,4,0,4,0,3,0,0,13,0
"Maungatapere","Maungatapere School, Mangakahia Road",1,0,0,0,0,2,10,0,6,3,5,4,0,31,0
"Maunu","Maunu Health Camp, 436 Maunu Road",0,0,0,1,0,0,10,0,5,1,5,3,0,25,2
,"Maunu Primary School, 13 Austins Road",0,0,0,0,0,5,9,0,2,0,6,1,0,23,0
,"Whangarei Area Hospital, Maunu Road",0,0,1,0,0,6,32,0,10,6,4,8,0,67,1
"Morningside","Morningside School, 53A Morningside Road",0,0,1,0,0,7,18,0,18,0,3,5,0,52,2
