Party and Electorate Candidate Votes Recorded at each polling place
"Tainui 64","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,Auckland Central
,"Red Cross Hall, Hakanoa Street",0,1,0,1,0,0,0,0,5,0,64,0,13,2,1,2,0,0,0,89,2
,"St Anthonys Catholic School, 102 Bailey Street",0,0,0,1,0,0,0,1,1,1,38,0,11,1,0,1,0,0,1,56,1
,"West Kindergarten, 26 Smith Avenue",0,1,0,0,0,0,2,0,6,0,96,0,30,1,0,2,0,0,0,138,4
,"West Primary School, Paki Street",0,0,0,3,0,0,3,0,4,0,253,0,85,4,0,7,0,0,1,360,3
"Kaipaki","Kaipaki School, Kaipaki Road",0,0,0,0,0,0,0,0,0,1,4,0,2,2,0,0,0,0,0,9,0
"Manawaru","Manawaru School, Manawaru Rd RD1",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0
"Matamata","Matamata College, Firth Street",0,1,0,1,0,0,0,0,0,1,17,0,9,0,0,5,0,0,0,34,1
,"Matamata Primary School, Broadway",0,0,1,0,0,0,2,0,1,0,31,0,10,3,0,2,0,0,0,50,3
,"Memorial Centre, Tainui Street",0,1,0,1,0,0,2,0,1,0,39,0,7,4,0,10,0,0,0,65,1
"Maungatautari","Maungatautari School, 1121 Maungatautari Rd",0,0,0,0,0,0,0,0,0,0,20,0,8,1,0,1,0,0,0,30,2
"Morrinsville","David Street School, 45 David Street",0,1,0,1,0,0,0,0,2,0,34,0,8,4,0,3,0,0,0,53,1
,"Kai-a-te-mata Marae, Kereone Rd, RD 1",1,0,0,0,0,0,0,0,0,0,64,0,22,1,0,1,0,0,0,89,4
,"Methodist Church Hall, Thames St",0,0,0,1,0,0,0,0,1,0,30,0,8,6,0,2,0,0,0,48,1
,"Morrinsville College, Alexandra Ave",0,0,0,0,0,0,0,0,2,0,15,0,8,1,0,0,0,0,0,26,0
"Ngaruawahia","Ngaruawahia Primary School, Galileo Street",0,0,0,2,0,0,4,0,5,2,169,0,48,3,0,14,0,1,0,248,0
,"Turangawaewae Marae, River Road",0,0,0,1,0,0,2,0,7,0,227,0,66,1,0,7,0,0,0,311,9
,"Waipa School, Kia Toa Road",0,0,0,4,0,0,6,0,3,1,143,0,33,2,0,7,0,0,0,199,3
"Ohaupo","Memorial Hall, Great South Rd",0,0,0,0,1,0,0,0,3,0,10,0,6,2,0,1,0,0,2,25,0
"Okauia","Okauia Hall, Okauia Springs Rd",0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,1,0,0,0,17,0
"Pukemiro","Pukemiro School, John Avenue",0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,13,0
"Rukuhia","Rukuhia School, Rukuhia Road, RD 2",0,0,0,0,0,0,0,0,0,1,4,0,2,1,0,2,0,0,0,10,0
"Tahuna","Tahuna School, Tahuna Rd ",0,0,0,0,0,0,0,0,0,0,15,0,2,1,0,3,0,0,0,21,0
"Tauhei","Tauhei School, Whitikahu Rd",0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,6,0
"Taupiri","Taupiri School, Green Lane Road",1,0,0,0,0,0,3,0,2,1,39,0,9,0,0,4,0,0,0,59,1
"Te Aroha","Contract Bridge Rooms, 105 Whitaker Street",0,0,0,0,0,0,1,0,0,0,16,0,1,0,0,2,0,0,0,20,0
,"Stanley Avenue School, Stanley Ave",0,0,0,1,0,0,0,0,1,0,16,0,1,2,0,1,0,0,0,22,0
,"Te Aroha Primary School, Jubilee Ave",0,0,0,0,0,0,0,0,6,0,40,0,10,3,0,8,0,0,0,67,3
"Te Poi","Te Poi School, 3 Stopford Road, Te Poi",0,1,0,0,0,0,0,0,0,0,8,0,6,2,0,2,0,0,0,19,0
"Waharoa","Raungaiti Marae, SH 27",0,0,0,0,0,0,2,0,0,0,24,0,4,0,0,0,0,0,0,30,1
,"Waharoa School, Ward St",0,0,0,1,0,0,0,0,1,0,66,0,22,2,0,0,0,0,0,92,3
"Waihou","Waihou Community Hall, Waihou Rd",0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,7,0
"Waitoa","Waitoa School, Main Road",0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,1,0,0,0,8,1
"Walton","Walton School, Main Rd",0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,1,0,0,0,8,0
"Wardville","Wairere School, Wardville Rd",0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,5,1
"Whitikahu","Whitikahu School, Whitikahu Rd",0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,9,0
,Port Waikato
"Aka Aka","Aka Aka School, 809 Aka Aka-Otaua Main Rd",0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,6,0
"Awhitu","District School, Matakawa-Awhitu Rd",0,0,0,0,0,0,0,0,1,0,10,0,5,2,0,2,0,1,0,21,0
"Bombay","Bombay School, 35 Paparata Rd",0,0,0,0,0,0,0,0,0,0,13,0,8,5,0,2,0,0,0,28,0
"Buckland","Buckland School, George Crescent",0,0,0,0,0,0,2,0,1,0,8,0,1,3,0,2,0,0,0,17,0
"Clarks Beach","Church By The Seashore, 14 - 16 Torkar Rd",0,0,0,0,0,0,0,0,1,0,8,0,6,1,0,0,0,0,0,16,0
"Drury","Drury School, Youngs Crescent",0,1,0,1,0,0,1,0,0,0,38,0,15,6,0,7,0,0,1,70,0
"Glenbrook","Glenbrook Primary School, 459 Main Rd",0,0,0,1,0,0,0,0,0,0,15,0,6,3,0,2,0,0,0,27,0
"Harrisville","Harrisville School, 202 Harrisville Rd",0,0,0,0,0,0,0,0,0,0,8,0,3,2,0,1,0,0,0,14,0
"Hunua","Hunua School, 39 Lockwood Rd",0,0,0,0,0,0,0,0,0,0,4,0,2,4,0,1,0,0,0,11,0
"Kaiaua","Kaiaua School, 1061 East Coast Rd",0,0,0,0,0,0,0,0,0,0,14,0,17,4,0,6,0,0,0,41,1
"Karaka","Te Hihi School, 767 Linwood Rd",0,0,0,0,0,0,1,0,4,0,14,0,7,2,0,1,0,0,0,29,0
"Mangatangi","Mangatangi School, 2047 Mangatangi Rd",0,0,0,1,0,0,0,0,0,0,7,0,5,1,0,2,0,0,0,16,0
