Electorate Candidate Votes Recorded at Each Voting Place
"Ikaroa-Rāwhiti 66","Candidate Vote Details"
,,"EDEN, Cathryn","FOX, Marama Kahu","KANI, Henare Matua","NIKORA, Shane Brisbane","ROSE, Victoria Maree","WHAITIRI, Meka","Total Valid Candidate Votes","Informal Candidate Votes"
,"Voting places where less than 6 votes were taken",1,36,13,11,0,46,107,10
,"Ordinary Votes BEFORE polling day",53,959,467,1370,14,2501,5364,154
,"Special Votes BEFORE polling day",5,157,96,312,3,383,956,16
,"Special Votes On polling day",19,309,172,367,2,636,1505,25
,"Overseas Special Votes including Defence Force",1,28,18,40,10,57,154,3
,"Ikaroa-Rāwhiti Total",215,3848,2114,5080,70,9753,21080,506
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",21586
"Electorate Candidate Valid Votes","Party",,"WHAITIRI, Meka - majority 4673"
"EDEN, Cathryn",Independent,215,.010199241
"FOX, Marama Kahu",Māori Party,3848,.1825426945
"KANI, Henare Matua",Green Party,2114,.10028463
"NIKORA, Shane Brisbane",MANA Movement,5080,.2409867173
"ROSE, Victoria Maree",The Expats,70,.0033206831
"WHAITIRI, Meka",Labour Party,9753,.4626660342
