Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tokerau 67","Candidate Vote Details"
,,"DANIELS, Judy","HARAWIRA, Hone Pani Tamati Waka Nene","MANGU, Mere Maryann","MAXWELL, Hana Harriett","MORTON, Patrick Ernest","SAMUELS, Dover Spencer Peneha","Total Valid Candidate Votes","Informal Candidate Votes"
"Manly","Manly Methodist Church, 945 Whangaparaoa Road (cnr Walbrook Rd)",2,8,0,0,2,10,22,1
,"Whangaparaoa School, 39 Ladies Mile",3,13,0,3,1,13,33,0
"Matakana","Matakana School, 952 Matakana Road",1,2,1,2,0,3,9,1
"Orewa","Orewa College, Riverside Road",0,3,1,1,0,13,18,3
,"Orewa Community Centre, Hillary Square",0,28,3,0,1,23,55,0
,"Orewa North School, Centreway Road",2,11,3,0,2,13,31,0
"Point Wells","Point Wells Hall, Point Wells Road",0,2,1,0,0,3,6,1
"Port Albert","Port Albert Hall, 980 Port Albert Road",2,1,0,0,0,4,7,1
"Puhoi","Puhoi Centennial Hall, Puhoi Road",0,6,0,0,0,2,8,0
"Red Beach","Red Beach Methodist Church, 76 Red Beach Road",1,9,0,0,1,15,26,0
,"Red Beach School, 20 Albert Hall Drive",1,5,2,1,2,15,26,0
"Silverdale","Stella Maris School Hall, Wainui Road",3,10,0,3,3,6,25,1
"Snells Beach","Snells Beach Methodist Church, 325 Mahurangi East Road",1,3,3,2,2,13,24,1
,"The Lifeway Trust Auditorium, 20 Goodall Road",0,1,0,0,1,5,7,1
"Stanmore Bay","Hibiscus Coast Leisure Centre, 159 Brightside Road",5,28,2,0,1,23,59,2
"Tapora","Tapora School, 1 Okahukura Road",0,5,0,0,1,2,8,0
"Wainui","Wainui School, 492 Waitoki Road",1,3,0,0,1,4,9,0
"Warkworth","Masonic Lodge, Baxter Street",0,14,1,1,0,23,39,4
,"Warkworth Methodist Church Hall, 1 Hexham Street",0,11,2,0,3,11,27,2
"Wellsford","Wellsford Primary School, School Road",0,56,3,0,0,37,96,2
"Whangaparaoa","Whangaparaoa Ratepayers Assn Hall, 717 Whangaparaoa Rd",3,11,2,1,3,5,25,0
,Te Atatu
"Glendene","Glendene School, 60 Barrys Road",4,41,5,1,3,58,112,7
"Henderson","Henderson North School, 14 Norval Road",1,26,7,0,2,15,51,1
,"Henderson Primary School, Montel Avenue",3,28,1,0,5,16,53,1
,"Pomaria Primary School, 33a Pomaria Road",7,70,7,1,5,60,150,1
,"Rathgar Kindergarten, 47A Longburn Road",1,18,5,0,1,23,48,1
,"Waitakere College, 42 Rathgar Road",3,35,5,0,11,29,83,3
"Massey","Lincoln Heights School, 16 Keegan Drive",2,62,4,0,6,62,136,2
"Sunnyvale","Sunnyvale Community Hall, 18 Sunnyside Road",1,27,7,0,2,24,61,0
,"Sunnyvale Primary School, 34 Ribblesdale Road",2,22,3,0,1,19,47,0
"Te Atatu Peninsula","Matipo Primary School, 63B Matipo Road",1,57,5,2,7,27,99,1
,"Peninsula Primary School, 22 Waipani Road",0,67,6,0,2,32,107,0
,"Rutherford Primary School, 7 Toru Street",2,29,3,0,4,15,53,1
,"Te Atatu Intermediate School, Harbour View Road",3,101,11,0,7,86,208,3
"Te Atatu South","Flanshaw Road School, 51 Flanshaw Road",3,40,6,1,4,39,93,1
,"Freyberg Community School, 60 Roberts Road",2,39,0,0,0,15,56,2
,"The Order of St John Hall, 247 Edmonton Road",1,29,5,0,4,25,64,0
,"Tirimoana School, 34 Kokiri Street",0,30,2,0,1,26,59,0
,Waitakere
"Glen Eden","Catholic Church Hall, 7 Glendale Road",0,6,0,0,0,4,10,0
,"Glen Eden School Hall, 3 Glenview Road",2,0,0,0,0,4,6,1
,"Te Kura Kaupapa Maori o Hoani Waititi Marae, 441 West Coast Road",0,57,7,0,4,21,89,0
"Henderson","Henderson High School, 31 Henderson Valley Road",1,19,3,2,0,27,52,2
,"Summerland School Hall, Summerland Drive",0,10,1,0,2,15,28,0
,"Waipareira Community House, 38 Border Road",0,37,3,0,3,19,62,0
,"Western Heights School, 126 Sturges Road",3,41,2,2,2,23,73,2
"Henderson Valley","Bruce McLaren Intermediate School, Bruce McLaren Road",3,42,3,0,2,37,87,1
,"Henderson South School, Garelja Road",2,21,0,0,0,15,38,2
,"Henderson Valley Play Centre, 31 Farwood Drive",1,10,0,0,0,5,16,0
,"Henderson Valley School, 389 Henderson Valley Rd",1,2,1,0,0,4,8,2
"Massey","Don Buck School, 124 Don Buck Road",1,25,1,0,4,22,53,2
,"Massey High School, 274 Don Buck Road",1,50,6,2,2,32,93,4
"Ranui","Birdwood School, Karepo Crescent",5,43,3,0,1,46,98,1
,"Ranui School, 16A Ranui Station Road",4,119,2,1,4,65,195,5
"Swanson","Swanson School Hall, 703 Swanson Road",7,28,3,1,2,30,71,1
"Waitakere","Waitakere School, Bethells Road",1,8,0,0,0,10,19,1
,Whangarei
"Glenbervie","Glenbervie School, Ngunguru Rd",1,18,3,0,1,6,29,0
"Hikurangi","Hikurangi School, Swan Ave",3,58,22,0,7,40,130,4
"Kamo","Kamo Intermediate School, Hailes Rd",3,34,4,0,0,22,63,4
,"Kamo Primary School, 3 Mile Bush Rd",6,55,11,2,2,76,152,8
"Kaurihohore","Kaurihohore Hall, Apotu Rd",0,5,0,0,1,7,13,1
"Kensington","Anglican Parish Hall, Kamo Rd",4,39,8,0,2,39,92,1
,"Croquet Club, Mill Road",2,13,2,0,1,21,39,2
,"St Johns Church Centre, 149 Kamo Rd",1,22,3,1,3,33,63,6
,"Table Tennis Club, Western Hills Drive",1,26,3,2,4,14,50,2
,"Whau Valley School, 17 Moodys Avenue",2,30,4,0,3,30,69,1
"Kokopu","Kokopu School, Kokopu Rd",0,7,2,0,3,3,15,0
"Mangapai","Hall (cnr McAlister Rd)",0,5,1,1,3,1,11,0
"Mata","Mata Hall, State Highway 1",0,5,2,0,1,7,15,1
"Matapouri","Public Hall",0,7,1,0,0,4,12,0
"Maungakaramea","Maungakaramea School, Tangihua Rd",0,1,1,1,0,5,8,0
"Maungatapere","Maungatapere School, Maungakahia Rd",1,12,2,3,0,7,25,0
"Maunu","Maunu Primary School, Maunu Rd",0,11,0,0,0,13,24,0
,"Selwyn Park Village, Puriri Park Rd",1,10,2,0,1,4,18,1
,"Whangarei Area Hospital, Maunu Rd",2,42,7,1,6,26,84,3
"Ngararatunua","Regent Training Centre, Ngararatunua, Pipiwai Rd",0,13,1,0,4,6,24,1
"Ngunguru","Ngunguru School, Te Maika Rd",2,15,3,1,0,14,35,2
"One Tree Point","One Tree Point School, One Tree Point Road",0,10,0,0,0,13,23,1
"Onerahi","Onerahi School, Church Rd",4,34,5,0,2,37,82,4
,"Raurimu Avenue School, Raurimu Avenue",4,37,3,1,12,44,101,1
,"St James Church, Onerahi Rd",2,44,4,0,2,33,85,1
"Otaika","Morningside School, Morningside Road",3,36,1,0,3,27,70,3
,"Otaika Gospel Hall (cnr Tarewa and Otaika Roads)",8,88,10,3,11,57,177,6
,"Otaika School, Valley View Rd",2,3,0,1,0,5,11,0
"Otangarei","Otangarei School, William Jones Drive",6,127,19,3,5,67,227,7
"Parihaka","Riverside Free Kindergarten, 38 Kohe Street",1,7,1,0,0,8,17,1
"Parua Bay","Parua Bay School, Whangarei Heads Rd",1,32,3,2,0,13,51,1
"Poroti","Poroti School, Maungakahia Rd",0,13,6,1,0,8,28,2
"Portland","Portland Primary School, Portland Rd",0,14,2,0,1,14,31,1
"Raumanga","Manaia View School Hall, Murdock Cres",7,102,6,2,5,71,193,3
,"Northland Polytechnic, Raumanga Valley Road",7,63,5,1,3,52,131,2
"Ruakaka","Bream Bay College, Marsden Pt Rd",6,62,5,1,2,39,115,6
,"Ruakaka Reserve Camp Hall, 21 Ruakaka Beach Rd",0,6,0,0,0,5,11,0
"Ruatangata","Ruatangata Hall, Ruatangata Rd",0,4,0,0,1,9,14,0
"Springs Flat","Alive Christian Fellowship, 55 Great North Rd",2,9,1,1,2,10,25,2
"Tamaterau","Tamaterau Hall, Whangarei Heads Rd",0,6,4,0,0,3,13,0
"Tauraroa","Tauraroa Area School, Omana Rd",0,1,0,0,0,5,6,0
"Tikipunga","Tikipunga Community Centre, 83 Paramount Parade",4,68,9,4,5,38,128,10
,"Tikipunga High School, Corks Rd",5,104,13,2,7,80,211,5
,"Trinity Uniting Church, Kiripaka Road",4,47,6,1,5,32,95,2
"Waipu","Waipu Hall, The Centre",2,14,6,0,2,15,39,1
"Whangarei","Allen Motors Northland, Reyburn Street",0,17,3,0,3,16,39,2
,"Northland Disability Resource Centre, 40 John St",1,15,1,0,0,6,23,1
,"Regent Training Classrooms, Maunu Rd",2,33,2,0,2,23,62,2
,"Te Renga Paraoa Marae, Porowini Avenue",4,95,15,2,7,42,165,6
,"Whangarei Intermediate, Rust Avenue",2,50,6,5,5,44,112,3
"Whangarei Heads","McLeod Bay Hall, Stewart Rd",0,4,2,1,0,5,12,1
,"Polling places where less than 6 votes were taken",0,16,5,0,1,22,44,6
,"Hospital Votes",2,13,3,1,1,24,44,3
,"Ordinary Votes BEFORE polling day",24,501,48,10,48,296,927,37
,"Special Votes BEFORE polling day",11,91,11,2,10,53,178,11
,"Special Votes On polling day",78,1048,108,18,47,520,1819,65
,"Overseas Special Votes including defence force",2,40,5,5,7,37,96,4
,"Te Tai Tokerau Total",574,9965,1250,207,664,6352,19012,554
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",19566
"Electorate Candidate Valid Votes","Party",,"HARAWIRA, Hone Pani Tamati Waka Nene - majority 3613"
"DANIELS, Judy",Aotearoa Legalise Cannabis Party,574,.030191458
"HARAWIRA, Hone Pani Tamati Waka Nene",Mâori Party,9965,.5241426467
"MANGU, Mere Maryann",Independent,1250,.0657479487
"MAXWELL, Hana Harriett",Independent,207,.0108878603
"MORTON, Patrick Ernest",Destiny New Zealand,664,.0349253103
"SAMUELS, Dover Spencer Peneha",Labour Party,6352,.3341047759
