Electorate Candidate Votes Recorded at Each Voting Place
"Te Tai Tokerau 69","Candidate Vote Details"
,,"DAVIS, Kelvin Glen","DEARLOVE, Clinton","HARAWIRA, Hone Pani Tamati Waka Nene","PAENGA, Te Hira Keretene Te Whakaiti","Total Valid Candidate Votes","Informal Candidate Votes"
"Lincoln","Lincoln North Kindergarten, 47a Longburn Road",19,0,7,6,32,0
,"Pomaria Primary School, 33a Pomaria Road",49,1,29,20,99,1
"Ranui","Birdwood School, 23 Karepo Crescent",29,0,16,10,55,1
,"Ranui Pacific Islanders Presbyterian Church, 35 Armada Drive",12,0,24,12,48,0
,"Ranui Primary School, 16a Ranui Station Road",69,2,59,19,149,1
"Swanson","Swanson School, 703 Swanson Road",36,3,23,13,75,0
"Te Atatu Peninsula","Congregational Church of Samoa, 472-478 Te Atatu Road",14,0,6,13,33,0
,"Matipo Primary School, 63b Matipo Road",35,2,22,11,70,1
,"Peninsula Primary School, 22 Waipani Road",39,0,33,14,86,0
,"Rutherford Primary School, 2 Kotuku Street",24,2,11,8,45,0
,"Te Atatu Intermediate School, 8-12 Harbour View Road",61,3,45,28,137,2
"Te Atatu South","Edmonton Primary School, corner School & Edmonton Roads",29,1,10,6,46,1
,"Flanshaw Road School, 51 Flanshaw Road",20,3,18,11,52,0
,"Freyberg Community School, 60 Roberts Road",21,2,23,8,54,3
,"Rangeview Intermediate School, 5 Keru Place",7,1,10,1,19,0
,"Tirimoana School, 34 Kokiri Street",28,6,11,18,63,3
,Upper Harbour
"Glenfield","Bayview School, 60 Bayview Road",9,0,12,13,34,0
,"Manuka Primary School, 34 Manuka Road",16,0,12,7,35,0
,"Meadowood Community House, 55 Meadowood Drive (off Unsworth Drive)",14,0,5,5,24,1
,"Target Road Primary School, 80 Target Road",14,0,9,5,28,0
"Greenhithe","Greenhithe School Hall, Sunnyview Road entrance",3,1,2,10,16,1
,"St Michael's Anglican Church Hall, 12 Greenhithe Road",2,2,1,1,6,2
"Hobsonville","Hobsonville Point Primary School,  18 De Havilland Road",6,0,5,4,15,0
,"Hobsonville Primary School, 104 Hobsonville Road",10,0,7,0,17,2
,"Hobsonville Public Hall, 397 Hobsonville Road",6,0,4,0,10,0
"Massey","Colwill School, 30-32 Kintara Drive",31,1,20,9,61,1
,"Don Buck School, 124 Don Buck Road",25,0,21,7,53,0
,"Lincoln Heights School, 16 Keegan Drive",34,1,30,20,85,1
,"Massey High School, 274 Don Buck Road",43,3,17,9,72,2
,"Royal Road School, 112 Royal Road",64,3,41,19,127,2
"West Harbour","Marina View School, 97-99 Marina View Drive",6,0,0,6,12,0
,"West Harbour Alliance Church, 145 Moire Road",11,1,18,6,36,0
,"West Harbour Primary School, Sumich Place entrance",38,1,16,12,67,0
,"Westgate Baptist Church, 67 Hobsonville Road",13,1,8,8,30,2
,Whangarei
"Glenbervie","Glenbervie School, 151 Ngunguru Road",12,1,11,2,26,0
"Hikurangi","Hikurangi School, Swan Avenue",66,1,27,12,106,8
"Kamo","Jane Mander Retirement Village, 262 Fairway Drive",5,1,2,2,10,0
,"Kamo Intermediate School, Hailes Road",20,2,29,7,58,1
,"Kamo Primary School, 6 Three Mile Bush Road",55,4,45,8,112,1
"Kauri","Kaurihohore Hall, 24 Apotu Road",6,0,3,0,9,1
"Kensington","Kensington Croquet Club, 41 Mill Road",18,0,6,4,28,0
,"St Johns Church Centre, 149 Kamo Road",41,1,38,3,83,0
,"Table Tennis Centre, Kensington Park, 193 Western Hills Drive",27,0,12,1,40,0
,"Whau Valley School, 17 Moodys Avenue",27,1,26,10,64,0
"Kokopu","Kokopu School, Kokopu Road",2,0,4,1,7,0
"Mangapai","Mangapai Hall, corner McAlister & Mangapai Roads ",5,0,2,2,9,0
"Mata","Mata Hall, Salmon Road  ",7,0,6,0,13,0
"Matapouri","Matapouri Public Hall, Matapouri Road",10,5,11,1,27,3
"Maungakaramea","Maungakaramea School, Tangihua Road",9,0,8,2,19,1
"Maungatapere","Maungatapere School, Mangakahia Road",14,2,9,9,34,0
"Maunu","Maunu Primary School, 13 Austins Road",19,2,7,3,31,0
